X,Y,Name,description,ADDRESSBLOCKHOUSENUMBER,ADDRESSBUILDINGNAME,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,ADDRESSTYPE,DESCRIPTION2,HYPERLINK,LANDXADDRESSPOINT,LANDYADDRESSPOINT,NAME2,PHOTOURL,ADDRESSFLOORNUMBER,INC_CRC,FMEL_UPD_D,ADDRESSUNITNUMBER,Field_10,Field_11,Field_12,Field_13,Field_14,Field_15,Field_8,Field_9,Field_6,Field_7,Field_4,Field_5,Field_2,Field_3,Field_1
103.721626399564,1.3353068008328,Taman Jurong CC,Community Club,1,,618495,Yung Sheng Road,A,,https://www.onepa.sg/cc/taman-jurong-cc,0,0,,,,FF50516F9506C660,20190624164320,,,,,,,,,,,,,,,,
103.939683594446,1.35349615471813,Tampines Central CC,Community Club,1,,528523,Tampines Walk,A,,https://www.onepa.sg/cc/tampines-central-cc,0,0,,,4,C57C470A51994838,20190624164320,4,,,,,,,,,,,,,,,
103.947687834643,1.3458133461735,Tampines Changkat CC,Community Club,13,,529453,Tampines Street 11,A,,https://www.onepa.sg/cc/tampines-changkat-cc,0,0,,,1,5C41E93EAE0DA24A,20190624164320,5,,,,,,,,,,,,,,,
103.792240772323,1.42749277602918,ACE The Place CC,Community Club,120,,739069,Woodlands Avenue 1,A,,https://www.onepa.sg/cc/ace-the-place-cc,0,0,,,,ED70A438913A484C,20190624164320,,,,,,,,,,,,,,,,
103.889546235205,1.35465808310012,Aljunied CC,Community Centre,110,,530110,Hougang Avenue 1,A,,https://www.onepa.sg/cc/aljunied-cc,0,0,,,1,4B64AE4221EEAA94,20190624164320,1048,,,,,,,,,,,,,,,
103.886665684716,1.39712791773438,Anchorvale CC,Community Club,59,,544965,Anchorvale Road,A,,https://www.onepa.sg/cc/anchorvale-cc,0,0,,,,1DD8DC4D60EE3F9A,20190624164320,,,,,,,,,,,,,,,,
103.840668130337,1.36683348076669,Ang Mo Kio CC,Community Centre,795,,569976,Ang Mo Kio Avenue 1,A,,https://www.onepa.sg/cc/ang-mo-kio-cc,0,0,,,,DBABED77C37A5E5E,20190624164320,,,,,,,,,,,,,,,,
103.747540191939,1.3207993044286,Ayer Rajah CC,Community Centre,150,,609335,Pandan Gardens,A,,https://www.onepa.sg/cc/ayer-rajah-cc,0,0,,,,F95CD26FE1500937,20190624164320,,,,,,,,,,,,,,,,
103.936047838803,1.32424659842593,Bedok CC,Community Centre,850,,467352,New Upper Changi Road,A,,https://www.onepa.sg/cc/bedok-cc,0,0,,,,FEFA68213DF62BFE,20190624164320,,,,,,,,,,,,,,,,
103.850509275687,1.34951161831951,Bishan CC,Community Club,51,,579799,Bishan Street 13,A,,https://www.onepa.sg/cc/bishan-cc,0,0,,,,C270CDA2DF1C97FA,20190624164320,,,,,,,,,,,,,,,,
103.845592707159,1.35857600024384,Bishan North CC,Community Centre,233,,570233,Bishan Street 22,A,,https://www.onepa.sg/cc/bishan-north-cc,0,0,,,1,A24580C4B5B3D16A,20190624164320,126,,,,,,,,,,,,,,,
103.841443224617,1.36150663042332,Bishan North CC (U/C),Community Club,191,,575738,Sin Ming Avenue,A,,https://www.onepa.sg/cc/bishan-north-cc,0,0,,,,0DCB6BF1E5540188,20190624164320,,,,,,,,,,,,,,,,
103.711380186479,1.34832322532679,Boon Lay CC,Community Club,10,,649882,Boon Lay Place,A,,https://www.onepa.sg/cc/boon-lay-cc,0,0,,,,1CEA67E597F5FD46,20190624164320,,,,,,,,,,,,,,,,
103.8703678757,1.35161224552733,Braddell Heights CC,Community Club,50,,556129,Serangoon Avenue 2,A,,https://www.onepa.sg/cc/braddell-heights-cc,0,0,,,1,3228BC288A469F2B,20190624164320,1,,,,,,,,,,,,,,,
103.747514398535,1.35019080604781,Bukit Batok CC,Community Club,21,,659959,Bukit Batok Central,A,,https://www.onepa.sg/cc/bukit-batok-cc,0,0,,,,9BB55356F5E548A4,20190624164320,,,,,,,,,,,,,,,,
103.758195830417,1.34898738780681,Bukit Batok East CC,Community Club,23,,659841,Bukit Batok East Avenue 4,A,,https://www.onepa.sg/cc/bukit-batok-east-cc,0,0,,,,F5CA1F9C27987E86,20190624164320,,,,,,,,,,,,,,,,
103.815828543116,1.28525426592061,Bukit Merah CC,Community Centre,4000,,159465,Jalan Bukit Merah,A,,https://www.onepa.sg/cc/bukit-merah-cc,0,0,,,,EF45D09D4AD8CDC9,20190624164320,,,,,,,,,,,,,,,,
103.9095452826,1.30482859822658,Marine Parade CC,Community Club,278,,449282,Marine Parade Road,A,,https://www.onepa.sg/cc/marine-parade-cc,0,0,,,,2E133690CC5BDB10,20190624164320,,,,,,,,,,,,,,,,
103.954620461629,1.35335682593433,Tampines East CC (U/C),Community Club,10,,529341,Tampines Street 23,A,,https://www.onepa.sg/cc/tampines-east-cc,0,0,,,,C7C8B4E168C7FACC,20190624164320,,,,,,,,,,,,,,,,
103.952659475483,1.35187111509963,Tampines East CC (Till 4Q 2019),Community Club,209,,520209,Tampines Street 21,A,,https://www.onepa.sg/cc/tampines-east-cc,0,0,,,1,ACCAE1ADD9453D02,20190624164320,1339,,,,,,,,,,,,,,,
103.946651479153,1.35727397931488,Tampines North CC,Community Club,2,,529204,Tampines Street 41,A,,https://www.onepa.sg/cc/tampines-north-cc,0,0,,,,8E4D9717D6BD95F5,20190624164320,,,,,,,,,,,,,,,,
103.935633408895,1.34875076398822,Tampines West CC,Community Club,5,,529705,Tampines Avenue 3,A,,https://www.onepa.sg/cc/tampines-west-cc,0,0,,,,AB698123C1AA38BC,20190624164320,,,,,,,,,,,,,,,,
103.826877183466,1.32338446818001,Tanglin CC,Community Club,245,,297829,Whitley Road,A,,https://www.onepa.sg/cc/tanglin-cc,0,0,,,,F48761B12DB8D28F,20190624164320,,,,,,,,,,,,,,,,
103.841584210034,1.27616698002633,Tanjong Pagar CC,Community Club,101,,89774,Cantonment Road,A,,https://www.onepa.sg/cc/tanjong-pagar-cc,0,0,,,,F73A2A5EE2283573,20190624164320,,,,,,,,,,,,,,,,
103.853536076665,1.36308867917974,Teck Ghee CC,Community Club,861,,569734,Ang Mo Kio Avenue 10,A,,https://www.onepa.sg/cc/teck-ghee-cc,0,0,,,,B1746F6A64230673,20190624164320,,,,,,,,,,,,,,,,
103.807875435609,1.27486265663736,Telok Blangah CC,Community Club,450,,108943,Telok Blangah Street 31,A,,https://www.onepa.sg/cc/telok-blangah-cc,0,0,,,,9DD2B604F360C2EE,20190624164320,,,,,,,,,,,,,,,,
103.704452685304,1.34046956412475,The Frontier CC,Community Club,60,,648346,Jurong West Central 3,A,,https://www.onepa.sg/cc/the-frontier-cc,0,0,,,1,79E1120C188CB25E,20190624164320,1,,,,,,,,,,,,,,,
103.873927617452,1.37005486240283,The Serangoon CC,Community Club,10,,555877,Serangoon North Avenue 2,A,,https://www.onepa.sg/cc/the-serangoon-cc,0,0,,,,7D2FFBBBB56F0564,20190624164320,,,,,,,,,,,,,,,,
103.836186251796,1.35129758760058,Thomson CC,Community Club,194,,574339,Upper Thomson Road,A,,https://www.onepa.sg/cc/thomson-cc,0,0,,,,31CE4A6D56389B49,20190624164320,,,,,,,,,,,,,,,,
103.831882714575,1.28345251714882,Tiong Bahru CC,Community Centre,67A,,169715,Eu Chin Street,A,,https://www.onepa.sg/cc/tiong-bahru-cc,0,0,,,,6772C5E8FD8D356C,20190624164320,,,,,,,,,,,,,,,,
103.850205297112,1.33493380173705,Toa Payoh Central CC,Community Club,93,,319194,Toa Payoh Central,A,,https://www.onepa.sg/cc/toa-payoh-central-cc,0,0,,,,B025DA1AF70A21D4,20190624164320,,,,,,,,,,,,,,,,
103.85470024903,1.33627489206396,Toa Payoh East CC,Community Club,160,,319380,Lorong 6 Toa Payoh,A,,https://www.onepa.sg/cc/toa-payoh-east-cc,0,0,,,,5F159FB00C04FB77,20190624164320,,,,,,,,,,,,,,,,
103.859378979813,1.33489037046643,Toa Payoh South CC,Community Club,1999,,319258,Lorong 8 Toa Payoh,A,,https://www.onepa.sg/cc/toa-payoh-south-cc,0,0,,,,178CA4A31C350E45,20190624164320,,,,,,,,,,,,,,,,
103.843277324916,1.33796393479118,Toa Payoh West CC (Till 3Q 2019),Community Club,131,,310131,Lorong 1 Toa Payoh,A,,https://www.onepa.sg/cc/toa-payoh-west-cc,0,0,,,2,9E94F800EA05A61A,20190624164320,2,,,,,,,,,,,,,,,
103.844830875826,1.3353827124599,Toa Payoh West CC (U/C),Community Club,200,,319642,Lorong 2 Toa Payoh,A,,https://www.onepa.sg/cc/toa-payoh-west-cc,0,0,,,,5F638116E616EEE9,20190624164320,,,,,,,,,,,,,,,,
103.789211186001,1.31200940949361,Ulu Pandan CC,Community Club,170,Ulu Pandan Community Building,279621,Ghim Moh Road,A,,https://www.onepa.sg/cc/ulu-pandan-cc,0,0,,,1,F7D39D4FDE5770E4,20190624164320,1,,,,,,,,,,,,,,,
103.764832077473,1.30264555979077,West Coast CC,Community Centre,2,,129605,Clementi West Street 2,A,,https://www.onepa.sg/cc/west-coast-cc,0,0,,,,5DF752726BD6C22A,20190624164320,,,,,,,,,,,,,,,,
103.856979169641,1.32463959408329,Whampoa CC,Community Club,300,,327737,Whampoa Drive,A,,https://www.onepa.sg/cc/whampoa-cc,0,0,,,,66947A1A86FCC0AC,20190624164320,,,,,,,,,,,,,,,,
