X,Y,Name,description,ADDRESSBLOCKHOUSENUMBER,ADDRESSBUILDINGNAME,ADDRESSFLOORNUMBER,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,ADDRESSTYPE,DESCRIPTION2,HYPERLINK,LANDXADDRESSPOINT,LANDYADDRESSPOINT,NAME2,PHOTOURL,INC_CRC,FMEL_UPD_D,ADDRESSUNITNUMBER
103.951897833247,1.34375761106875,PCF SPARKLETOTS PRESCHOOL @ CHANGI-SIMEI Blk 119 (KN),Kindergartens,,,,520119,119 Simei Street 1 #01-506,,,,0,0,,,922E34C659E258BF,20170807175647,
103.953954328288,1.34550516579393,PCF SPARKLETOTS PRESCHOOL @ CHANGI-SIMEI Blk 131 (KN),Kindergartens,,,,520131,131 Simei Street 1 #01-208,,,,0,0,,,B4040427C0EB5B9D,20170807175647,
103.854214321314,1.36770367673575,PCF SPARKLETOTS PRESCHOOL @ CHENG SAN-SELETAR Blk 435 (KN),Kindergartens,,,,560435,435 Ang Mo Kio Avenue 10 #01-1393,,,,0,0,,,17606F2AED7AD6F9,20170807175647,
103.853001924346,1.37416922383178,PCF SPARKLETOTS PRESCHOOL @ CHENG SAN-SELETAR Blk 533 (KN),Kindergartens,,,,560533,533 Ang Mo Kio Avenue 5 #01-4100,,,,0,0,,,3C41D8F265F8D29F,20170807175647,
103.827520202995,1.43221807638831,PCF SPARKLETOTS PRESCHOOL @ CHONG PANG Blk 107 (KN),Kindergartens,,,,760107,107 Yishun Ring Road #01-207,,,,0,0,,,9F4B223EEAFF8538,20170807175647,
103.83112480555,1.43499758606717,PCF SPARKLETOTS PRESCHOOL @ CHONG PANG Blk 122 (KN),Kindergartens,,,,760122,122 Yishun Street 11 #01-479,,,,0,0,,,D06774118B7274BE,20170807175647,
103.755211077074,1.38047054635669,PCF SPARKLETOTS PRESCHOOL @ CHUA CHU KANG Blk 10 (KN),Kindergartens,,,,680010,810 Teck Whye Avenue #01-59,,,,0,0,,,973A945836AF246E,20170807175647,
103.749457687169,1.37919635456613,PCF SPARKLETOTS PRESCHOOL @ CHUA CHU KANG Blk 123 (KN),Kindergartens,,,,680123,123 Teck Whye Lane #01-864 S(680123),,,,0,0,,,799D1521AFE39404,20170807175647,
103.767781828766,1.31374471183118,PCF SPARKLETOTS PRESCHOOL @ CLEMENTI Blk 330 (KN),Kindergartens,,,,120330,330 Clementi Avenue 2 #01-170 S(120330),,,,0,0,,,A2A53568B590FE7E,20170807175647,
103.765901438084,1.31110092309926,PCF SPARKLETOTS PRESCHOOL @ CLEMENTI Blk 462A (KN),Kindergartens,,,,120462,462A Clementi Avenue 3 #01-01 S(120462),,,,0,0,,,46D53277F5B4E242,20170807175647,
103.910623676787,1.33197885908217,PCF SPARKLETOTS PRESCHOOL @ EUNOS Blk 122 (KN),Kindergartens,,,,470122,122 Bedok Reservoir Road #01-1021,,,,0,0,,,93BBF8AA4DA7CABB,20170807175647,
103.91499105091,1.33182714058031,PCF SPARKLETOTS PRESCHOOL @ EUNOS Blk 616 (KN),Kindergartens,,,,470616,616 Bedok Reservoir Road #01-1106,,,,0,0,,,EC2DA8E235F10076,20170807175647,
103.937542519962,1.33348258786788,PCF SPARKLETOTS PRESCHOOL @ FENGSHAN Blk 103 (KN),Kindergartens,,,,460103,103 Bedok North Avenue 4 #01-2000,,,,0,0,,,C2312A970ECD350C,20170807175647,
103.938917895267,1.32816830901984,PCF SPARKLETOTS PRESCHOOL @ FENGSHAN Blk 126 (KN),Kindergartens,,,,460126,126 Bedok North Street 2 #01-88,,,,0,0,,,8EABCA2EEF1B0997,20170807175647,
